Image Path,Label Path,Class Name
./dataset/train/images/Venus-55-_jpg.rf.c54c01d851a3e7268462777f1c424c3f.jpg,./dataset/train/labels/Venus-55-_jpg.rf.c54c01d851a3e7268462777f1c424c3f.txt,Venus
./dataset/train/images/Jupiter-130-_jpg.rf.681f4e21edd1a20813c49d934ed33550.jpg,./dataset/train/labels/Jupiter-130-_jpg.rf.681f4e21edd1a20813c49d934ed33550.txt,Jupiter
./dataset/train/images/Saturn-145-_jpg.rf.48786744d5692ba53698a09ab98a4f00.jpg,./dataset/train/labels/Saturn-145-_jpg.rf.48786744d5692ba53698a09ab98a4f00.txt,Saturn
./dataset/train/images/Uranus-15-_jpg.rf.a7b0d3b1668054f71d430b67c685dfd2.jpg,./dataset/train/labels/Uranus-15-_jpg.rf.a7b0d3b1668054f71d430b67c685dfd2.txt,Uranus
./dataset/train/images/Neptune-69-_jpg.rf.0ab32268c9e74979c7481cec6fd59c0a.jpg,./dataset/train/labels/Neptune-69-_jpg.rf.0ab32268c9e74979c7481cec6fd59c0a.txt,Neptune
./dataset/train/images/Earth-104-_jpg.rf.05903a8b0223fc11f32a08257cba25f7.jpg,./dataset/train/labels/Earth-104-_jpg.rf.05903a8b0223fc11f32a08257cba25f7.txt,Earth
./dataset/train/images/Venus-22-_jpg.rf.063e1112202a1021c47cc1121e783dbb.jpg,./dataset/train/labels/Venus-22-_jpg.rf.063e1112202a1021c47cc1121e783dbb.txt,Venus
./dataset/train/images/Mars-34-_jpg.rf.900e9e69138946a5d4fb3e1703e866a5.jpg,./dataset/train/labels/Mars-34-_jpg.rf.900e9e69138946a5d4fb3e1703e866a5.txt,Mars
./dataset/train/images/Earth-82-_jpg.rf.83677347b99cc97dd7518984917c2938.jpg,./dataset/train/labels/Earth-82-_jpg.rf.83677347b99cc97dd7518984917c2938.txt,Earth
./dataset/train/images/Uranus-77-_jpg.rf.eb2bf5391675c89bb5389bb96de86ba3.jpg,./dataset/train/labels/Uranus-77-_jpg.rf.eb2bf5391675c89bb5389bb96de86ba3.txt,Uranus
./dataset/train/images/Venus-61-_jpg.rf.f56d5c7dcbdcd332c9d20b80dd7fecad.jpg,./dataset/train/labels/Venus-61-_jpg.rf.f56d5c7dcbdcd332c9d20b80dd7fecad.txt,Venus
./dataset/train/images/Jupiter-117-_jpg.rf.bcd78ebb030523c215afd148e2657137.jpg,./dataset/train/labels/Jupiter-117-_jpg.rf.bcd78ebb030523c215afd148e2657137.txt,Jupiter
./dataset/train/images/Jupiter-82-_jpg.rf.4d590b7eb4f47207374064051b1ea5b5.jpg,./dataset/train/labels/Jupiter-82-_jpg.rf.4d590b7eb4f47207374064051b1ea5b5.txt,Jupiter
./dataset/train/images/Venus-58-_jpg.rf.0dc6a201fa81d1134d4b65723a13c7e4.jpg,./dataset/train/labels/Venus-58-_jpg.rf.0dc6a201fa81d1134d4b65723a13c7e4.txt,Venus
./dataset/train/images/Jupiter-43-_jpg.rf.afbd9346c11396ff46afbc126bd1959b.jpg,./dataset/train/labels/Jupiter-43-_jpg.rf.afbd9346c11396ff46afbc126bd1959b.txt,Jupiter
./dataset/train/images/Jupiter-26-_jpg.rf.54a58694b38de1818aa2661c7509c610.jpg,./dataset/train/labels/Jupiter-26-_jpg.rf.54a58694b38de1818aa2661c7509c610.txt,Jupiter
./dataset/train/images/Mars-129-_jpg.rf.a7dafe31f201b41e392ab5433607e75a.jpg,./dataset/train/labels/Mars-129-_jpg.rf.a7dafe31f201b41e392ab5433607e75a.txt,Mars
./dataset/train/images/Saturn-31-_jpg.rf.00bd580a8e63aef2691ab633f7eb426f.jpg,./dataset/train/labels/Saturn-31-_jpg.rf.00bd580a8e63aef2691ab633f7eb426f.txt,Saturn
./dataset/train/images/Jupiter-10-_jpg.rf.a00de8c02d2b97b0926ece19e4806078.jpg,./dataset/train/labels/Jupiter-10-_jpg.rf.a00de8c02d2b97b0926ece19e4806078.txt,Jupiter
